route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order
"NAOLIBORG:Line:107","NAOLIBORG:Operator:1","107","Bournière - Reinetière",,3,,a9162e,ffffff,307
"NAOLIBORG:Line:108","NAOLIBORG:Operator:1","108","Saint-Hermeland - Saint-Léger-les-Vignes",,3,,a9162e,ffffff,308
"NAOLIBORG:Line:109","NAOLIBORG:Operator:1","109","Ferrière - Couchant",,3,,a9162e,ffffff,309
"NAOLIBORG:Line:111","NAOLIBORG:Operator:1","111","ADAPEI à Tillay - Lycée Appert",,3,,a9162e,ffffff,311
"NAOLIBORG:Line:112","NAOLIBORG:Operator:1","112","St Blaise - Savarières",,3,,a9162e,ffffff,312
"NAOLIBORG:Line:115","NAOLIBORG:Operator:1","115","Lycée Carquefou - Beaujoire",,3,,a9162e,ffffff,315
"NAOLIBORG:Line:117","NAOLIBORG:Operator:1","117","Le Halleray - Reinetière",,3,,a9162e,ffffff,317
"NAOLIBORG:Line:118","NAOLIBORG:Operator:1","118","Pirmil - St-Léger-les-Vignes",,3,,a9162e,ffffff,318
"NAOLIBORG:Line:119","NAOLIBORG:Operator:1","119","Mairie d'Orvault - Angevinière",,3,,a9162e,ffffff,319
"NAOLIBORG:Line:122","NAOLIBORG:Operator:1","122","Savarières - St Blaise",,3,,a9162e,ffffff,322
"NAOLIBORG:Line:127","NAOLIBORG:Operator:1","127","Colinière - Monteverdi",,3,,a9162e,ffffff,327
"NAOLIBORG:Line:128","NAOLIBORG:Operator:1","128","Pé de Buzay - Lycée d'Orbigny",,3,,a9162e,ffffff,328
"NAOLIBORG:Line:129","NAOLIBORG:Operator:1","129","Les Anges - Angevinière",,3,,a9162e,ffffff,329
"NAOLIBORG:Line:131","NAOLIBORG:Operator:1","131","Bac de Couëron - Mendès France Bellevue",,3,,a9162e,ffffff,331
"NAOLIBORG:Line:135","NAOLIBORG:Operator:1","135","Petits Champs Blancs - Collège Sainte-Anne",,3,,a9162e,ffffff,335
"NAOLIBORG:Line:137","NAOLIBORG:Operator:1","137","Chinon / Monteverdi - Toutes Aides",,3,,a9162e,ffffff,337
"NAOLIBORG:Line:138","NAOLIBORG:Operator:1","138","Le Pellerin - Lycée de Bouaye",,3,,a9162e,ffffff,338
